City,Review_Text
Manali,"Food in Manali was terrible, wouldn't go back."
Manali,Manali was too crowded and expensive this time.
Manali,"Decent trip to Manali, but hotels could be better."
Kerala,"Food in Kerala was terrible, wouldn't go back."
Jaipur,"Amazing experience in Jaipur, loved the vibe!"
Goa,Goa was too crowded and expensive this time.
Manali,"Decent trip to Manali, but hotels could be better."
Goa,"Absolutely breathtaking views in Goa, highly recommended."
Kerala,"Absolutely breathtaking views in Kerala, highly recommended."
Agra,"Food in Agra was terrible, wouldn't go back."
Jaipur,"Absolutely breathtaking views in Jaipur, highly recommended."
Goa,"Average stay at Goa, nothing special."
Goa,"Absolutely breathtaking views in Goa, highly recommended."
Jaipur,"Amazing experience in Jaipur, loved the vibe!"
Goa,"Decent trip to Goa, but hotels could be better."
Agra,"Average stay at Agra, nothing special."
Manali,"Food in Manali was terrible, wouldn't go back."
Jaipur,"Decent trip to Jaipur, but hotels could be better."
Goa,"Decent trip to Goa, but hotels could be better."
Jaipur,"Decent trip to Jaipur, but hotels could be better."
Agra,"Average stay at Agra, nothing special."
Agra,"Decent trip to Agra, but hotels could be better."
Agra,"Decent trip to Agra, but hotels could be better."
Kerala,"Amazing experience in Kerala, loved the vibe!"
Agra,"Food in Agra was terrible, wouldn't go back."
Agra,"Amazing experience in Agra, loved the vibe!"
Manali,"Food in Manali was terrible, wouldn't go back."
Kerala,"Food in Kerala was terrible, wouldn't go back."
Goa,"Food in Goa was terrible, wouldn't go back."
Jaipur,"Average stay at Jaipur, nothing special."
Agra,"Amazing experience in Agra, loved the vibe!"
Goa,"Amazing experience in Goa, loved the vibe!"
Jaipur,"Amazing experience in Jaipur, loved the vibe!"
Manali,Manali was too crowded and expensive this time.
Jaipur,"Average stay at Jaipur, nothing special."
Kerala,"Amazing experience in Kerala, loved the vibe!"
Agra,Agra was too crowded and expensive this time.
Agra,"Decent trip to Agra, but hotels could be better."
Kerala,"Absolutely breathtaking views in Kerala, highly recommended."
Jaipur,"Food in Jaipur was terrible, wouldn't go back."
Kerala,"Amazing experience in Kerala, loved the vibe!"
Jaipur,"Average stay at Jaipur, nothing special."
Jaipur,"Absolutely breathtaking views in Jaipur, highly recommended."
Agra,Agra was too crowded and expensive this time.
Manali,"Amazing experience in Manali, loved the vibe!"
Kerala,"Decent trip to Kerala, but hotels could be better."
Agra,"Food in Agra was terrible, wouldn't go back."
Jaipur,"Absolutely breathtaking views in Jaipur, highly recommended."
Jaipur,"Food in Jaipur was terrible, wouldn't go back."
Kerala,Kerala was too crowded and expensive this time.
Jaipur,"Decent trip to Jaipur, but hotels could be better."
Agra,"Decent trip to Agra, but hotels could be better."
Jaipur,"Amazing experience in Jaipur, loved the vibe!"
Manali,"Absolutely breathtaking views in Manali, highly recommended."
Kerala,"Food in Kerala was terrible, wouldn't go back."
Jaipur,"Average stay at Jaipur, nothing special."
Agra,Agra was too crowded and expensive this time.
Jaipur,"Food in Jaipur was terrible, wouldn't go back."
Jaipur,"Average stay at Jaipur, nothing special."
Jaipur,Jaipur was too crowded and expensive this time.
Manali,"Food in Manali was terrible, wouldn't go back."
Manali,"Food in Manali was terrible, wouldn't go back."
Jaipur,"Absolutely breathtaking views in Jaipur, highly recommended."
Jaipur,"Decent trip to Jaipur, but hotels could be better."
Goa,Goa was too crowded and expensive this time.
Kerala,"Decent trip to Kerala, but hotels could be better."
Manali,"Decent trip to Manali, but hotels could be better."
Kerala,"Amazing experience in Kerala, loved the vibe!"
Jaipur,"Average stay at Jaipur, nothing special."
Kerala,"Average stay at Kerala, nothing special."
Agra,Agra was too crowded and expensive this time.
Kerala,Kerala was too crowded and expensive this time.
Goa,"Amazing experience in Goa, loved the vibe!"
Kerala,"Absolutely breathtaking views in Kerala, highly recommended."
Jaipur,"Average stay at Jaipur, nothing special."
Jaipur,"Average stay at Jaipur, nothing special."
Manali,"Decent trip to Manali, but hotels could be better."
Goa,"Average stay at Goa, nothing special."
Kerala,"Absolutely breathtaking views in Kerala, highly recommended."
Jaipur,"Food in Jaipur was terrible, wouldn't go back."
Goa,"Food in Goa was terrible, wouldn't go back."
Kerala,"Food in Kerala was terrible, wouldn't go back."
Manali,"Average stay at Manali, nothing special."
Jaipur,"Food in Jaipur was terrible, wouldn't go back."
Jaipur,"Amazing experience in Jaipur, loved the vibe!"
Kerala,"Absolutely breathtaking views in Kerala, highly recommended."
Agra,"Food in Agra was terrible, wouldn't go back."
Manali,Manali was too crowded and expensive this time.
Agra,"Decent trip to Agra, but hotels could be better."
Kerala,"Average stay at Kerala, nothing special."
Manali,"Average stay at Manali, nothing special."
Goa,"Amazing experience in Goa, loved the vibe!"
Agra,"Decent trip to Agra, but hotels could be better."
Kerala,"Decent trip to Kerala, but hotels could be better."
Agra,"Decent trip to Agra, but hotels could be better."
Jaipur,Jaipur was too crowded and expensive this time.
Kerala,"Food in Kerala was terrible, wouldn't go back."
Goa,"Decent trip to Goa, but hotels could be better."
Kerala,"Amazing experience in Kerala, loved the vibe!"
Manali,"Absolutely breathtaking views in Manali, highly recommended."
